id,name,active
634,anim_pounce_fail_03,1
635,anim_pounce_fail_01,1
636,anim_movement_lookinplaceforfaces_short_head_angle_-20,1
637,anim_cube_success_getout_01,1
638,anim_weather_thunderstorm_01,1
639,anim_movement_lookinplaceforfaces_medium_head_angle_-20,1
640,anim_lookinplaceforfaces_keepalive_long_head_angle_40,1
641,anim_dancebeat_headnod_down_01,1
642,anim_onboarding_drive_getout_01,1
643,anim_movement_reacttoface_01_head_angle_20,1
644,anim_sudden_obstacle_react_02,1
645,anim_movement_left_02,1
646,anim_greeting_imhome_01,1
647,anim_findcube_request_01,1
648,anim_eyecolorreact_getin_01,1
649,anim_sudden_obstacle_react_01,1
650,anim_reacttocliff_huh_01,1
651,anim_rtsound_oncharger_asleep_behind_right_01,1
652,anim_gazing_lookatfaces_getin_left_01_head_angle_-20,1
653,anim_reacttocliff_turnleft_180_01,1
654,anim_hiking_react_07,1
655,anim_knowledgegraph_searching_getout_01,1
656,anim_reacttocliff_stuckonedge_alert_right_01,1
657,anim_explorer_idle_01_head_angle_20,1
658,anim_reacttocliff_turnright_120_01,1
659,anim_dancebeat_eyebeat_right_01,1
660,anim_gotosleep_getout_03,1
661,anim_reacttocliff_stuckonedge_alert_01,1
662,anim_rtsound_oncharger_asleep_60left_01,1
663,anim_onboarding_driveoff_charger_01,1
664,anim_eyepose_blink_bd_r,1
665,anim_gotosleep_sleeploop_01,1
666,anim_freeplay_reacttoface_identified_03,1
667,anim_hiking_lookaround_02,1
668,anim_hiking_react_05,1
669,anim_loco_driving01_loop_02,1
